safegraph_place_id,location_name,street_address,city,region,postal_code,safegraph_brand_ids,brands,date_range_start,date_range_end,raw_visit_counts,raw_visitor_counts,visits_by_day,poi_cbg,visitor_home_cbgs,visitor_daytime_cbgs,visitor_work_cbgs,visitor_country_of_origin,distance_from_home,median_dwell,bucketed_dwell_times,related_same_day_brand,related_same_month_brand,popularity_by_hour,popularity_by_day,device_type
sg:15b79ad4e811437e9f3a74c303586e3e,University Of Virginia Hospital,Renal Services 1416 University Ave 5th Floor,Charlottesville,VA,22908,,,2020-08-01T00:00:00-04:00,2020-09-01T00:00:00-04:00,67,55,"[1,1,2,4,1,3,3,4,3,1,8,7,1,1,1,1,1,0,2,3,10,2,0,0,1,2,1,1,1,0,1]",515400002012.0,"{""515400010001"":8,""510310202001"":4,""515400005012"":4,""515400002012"":4,""511970501001"":4,""515400004011"":4,""515400005024"":4,""510030110001"":4}","{""515400010001"":5,""510790301023"":4,""515400004011"":4,""515400005012"":4}",{},"{""US"":41}",9025.0,96.0,"{""<5"":0,""5-20"":21,""21-60"":8,""61-240"":22,"">240"":16}",{},"{""Goodwill Industries"":20,""Ferguson"":9}","[4,5,5,8,14,22,33,27,20,20,18,19,18,16,15,10,7,7,4,3,3,3,4,4]","{""Monday"":5,""Tuesday"":13,""Wednesday"":12,""Thursday"":8,""Friday"":15,""Saturday"":9,""Sunday"":5}","{""android"":29,""ios"":26}"
sg:2a5e8e4135f04a5a96022f720d05378f,Castle,2 Bonnycastle,University of Virginia,VA,22904,,,2020-08-01T00:00:00-04:00,2020-09-01T00:00:00-04:00,74,39,"[1,1,4,4,1,3,1,2,1,3,3,3,1,2,3,1,1,1,4,2,3,0,1,0,4,2,2,4,6,6,4]",510030109031.0,"{""510030109031"":4,""510030108003"":4,""550590026013"":4,""515400002021"":4,""510790302003"":4}","{""511076118031"":5,""517402128021"":4,""516600004011"":4,""550590026021"":4,""510030101002"":4,""510594302031"":4}",{},"{""US"":30}",81652.0,50.5,"{""<5"":3,""5-20"":23,""21-60"":13,""61-240"":27,"">240"":8}","{""McDonald's"":22}","{""Starbucks"":29,""7-Eleven"":23,""Argo Tea"":21,""Sheetz"":15,""Shell Oil"":14,""Target"":13,""Courtyard by Marriott"":12,""Food Lion"":12,""McDonald's"":11,""Rising Roll Gourmet Cafe"":10,""Subway"":10,""Chick-fil-A"":10,""Einstein Brothers"":10,""Walmart"":10,""Exxon Mobil"":10,""Five Guys"":10,""Sam's Club"":10,""Lowe's"":8,""Taco Bell"":8,""Costco Wholesale Corp."":7}","[4,4,4,4,5,20,24,21,18,12,8,9,19,16,15,8,7,6,6,2,2,4,3,3]","{""Monday"":12,""Tuesday"":12,""Wednesday"":10,""Thursday"":8,""Friday"":10,""Saturday"":12,""Sunday"":10}","{""android"":20,""ios"":18}"
sg:d98f9fa867c24855831df42c08d30bac,University Of Virginia Medical Center,1215 Lee St,University of Virginia,VA,22908,,,2020-08-01T00:00:00-04:00,2020-09-01T00:00:00-04:00,7115,1860,"[136,145,282,310,269,251,237,143,125,259,275,263,283,250,115,129,246,273,282,342,313,144,134,300,304,259,291,255,131,107,262]",515400006001.0,"{""510030113021"":25,""515400006001"":19,""510650201021"":18,""510030105002"":15,""511099503003"":15,""510030112021"":14,""510650203001"":14,""510650201012"":14,""511099503002"":13,""510030106012"":13,""510030113032"":13,""510650201023"":13,""510650201011"":13,""510790302004"":12,""515400002021"":11,""510650203002"":11,""510030111004"":11,""510790301023"":9,""510030102011"":9,""510150706003"":9,""511371101041"":8,""518200034001"":8,""515400009001"":8,""510150712001"":8,""511099503001"":8,""010970035021"":8,""515400005011"":8,""516600002051"":8,""511259502004"":7,""510030111001"":7,""510190301031"":7,""511259501002"":7,""510650201022"":7,""510030106013"":7,""510030103003"":7,""510790301021"":6,""510872001193"":6,""510790301012"":6,""511650120002"":6,""510030107002"":6,""510030107003"":6,""510030104022"":6,""510030113012"":6,""511139301001"":6,""515400005021"":6,""510030110004"":6,""510310203003"":6,""510030113013"":6,""517900006002"":6,""510479302011"":6,""511371102002"":6,""511371103004"":6,""515400005023"":6,""511770204062"":5,""511650101002"":5,""515400005022"":5,""515400002022"":5,""511390304002"":5,""510150711013"":5,""511099504002"":5,""516600003024"":5,""510030113022"":5,""511371103003"":5,""511650107002"":5,""510030112011"":5,""515400010001"":5,""510650202001"":5,""510030102012"":5,""518200034002"":5,""511371101023"":5,""510030111002"":5,""510030106022"":5,""510670205002"":5,""510538405002"":5,""510790301024"":5,""510030103004"":5,""510030103001"":5,""510650202003"":5,""510050701002"":5,""510030105003"":5,""510950803031"":5,""511650115002"":5,""510110401005"":4,""511371102001"":4,""511539014113"":4,""511259502002"":4,""510190301011"":4,""510890103003"":4,""510030101001"":4,""510110401004"":4,""511210212001"":4,""510030110001"":4,""510619304012"":4,""510479301023"":4,""510499302003"":4,""510411010103"":4,""511710402021"":4,""371570406021"":4,""511770202041"":4,""510030113031"":4,""510150708004"":4,""510190301013"":4,""510950802061"":4,""510050701004"":4,""510090101002"":4,""510050801002"":4,""511650102001"":4,""511710401001"":4,""510872001292"":4,""516600001022"":4,""510090104011"":4,""510411009331"":4,""511259501004"":4,""516800002021"":4,""510150710004"":4,""510190301042"":4,""511610307013"":4,""181770004001"":4,""511099505001"":4,""540810008032"":4,""511790101062"":4,""240358109011"":4,""511430107002"":4,""510853208032"":4,""510110401001"":4,""510190501003"":4,""511259503001"":4,""511479301001"":4,""511639304004"":4,""511650111001"":4,""511350001002"":4,""510150711024"":4,""510050803011"":4,""510150710003"":4,""515400004024"":4,""511770204051"":4,""510872001212"":4,""510150711012"":4,""510872001273"":4,""510030101003"":4,""511371103002"":4,""540890006003"":4,""511650112002"":4,""518200035002"":4,""510150702002"":4,""510411009241"":4,""511770203042"":4,""510594917051"":4,""370010205012"":4,""510150704001"":4,""510411008123"":4,""518200033003"":4,""510150705001"":4,""510190306022"":4,""517900004004"":4,""511139301003"":4,""518200032001"":4,""511730304002"":4,""240317007172"":4,""515400005013"":4,""515400010003"":4,""510150705003"":4,""510150711023"":4,""511650106001"":4,""510190302022"":4,""511790102101"":4,""510670203001"":4,""510030102022"":4,""511430106002"":4,""510090106001"":4,""470730504001"":4,""510310201013"":4,""510411009123"":4,""510479304002"":4,""510150711011"":4,""510030110002"":4,""510299302021"":4,""510594921001"":4,""510150709003"":4,""511959309002"":4,""510150712002"":4,""510150702001"":4,""511539012281"":4,""510150706004"":4,""510310202004"":4,""510853208031"":4,""370210022041"":4,""511790103011"":4,""511790103032"":4,""510790301011"":4,""510090104021"":4,""510310205001"":4,""516800018001"":4,""511970504022"":4,""515400007003"":4,""511650118003"":4,""510030110005"":4,""510190302013"":4,""291414704003"":4,""511139302001"":4,""510670207001"":4,""510090104012"":4,""371590513022"":4,""511390305002"":4,""511710407003"":4,""510090102004"":4,""510872001053"":4,""510090105041"":4,""510754004002"":4,""510310205003"":4,""510110402001"":4,""511139302004"":4,""515200204003"":4,""540039721026"":4,""516600001021"":4,""511099502012"":4,""515400004011"":4,""540759602001"":4,""510650203003"":4,""515400005025"":4,""511390304004"":4,""510030102021"":4,""511259503004"":4,""511059505002"":4,""511099502021"":4,""511610312012"":4,""510150708002"":4,""511099501004"":4,""510299302022"":4,""518200035001"":4,""510030111003"":4,""510650202004"":4,""518200034003"":4,""510150711022"":4,""515400005024"":4,""511390305005"":4,""515800602002"":4,""511099501003"":4,""511650120003"":4,""511650103001"":4,""510090101001"":4,""516800007001"":4,""511650101001"":4,""510690509001"":4,""511639303004"":4,""510310203001"":4,""510839303021"":4,""510030104011"":4,""511650119001"":4,""510030114003"":4,""511639301005"":4,""240054302002"":4,""510619307031"":4,""510350801001"":4,""510790302001"":4,""510110402002"":4,""510030112022"":4,""517700004003"":4,""510790302003"":4,""518200033004"":4,""510150707002"":4,""511390301002"":4,""510030110003"":4,""510479301022"":4,""510479302012"":4,""511099502011"":4,""515400002011"":4,""510110402003"":4,""510030106021"":4,""511650110003"":4,""511650117001"":4,""510030112013"":4,""516600003021"":4,""300630004002"":4,""510230403023"":4,""511479302022"":4,""470359704001"":4,""517900002002"":4,""370959201004"":4,""516600002043"":4,""511710405005"":4,""510190501001"":4,""220710050001"":4,""518200033001"":4,""510150709004"":4,""511650108002"":4,""370670037031"":4,""510030108002"":4,""250138128003"":4,""510090105021"":4,""510090105031"":4,""510030101002"":4,""511539014162"":4,""511770201064"":4,""510379301001"":4,""511639301006"":4,""511259502003"":4,""518200032002"":4,""515400004022"":4,""290470213053"":4,""511710406002"":4,""510510402003"":4,""510150706005"":4,""515400008001"":4,""511610311013"":4,""471630420001"":4,""510299301012"":4,""517600107002"":4,""515400007002"":4,""240054083021"":4,""511650114001"":4,""511430102002"":4,""510270106003"":4}","{""515400006001"":85,""510030113021"":17,""510030113032"":16,""510790302004"":13,""510650201021"":13,""515400002021"":13,""510030112021"":11,""510030106012"":11,""511099503002"":11,""510030110002"":10,""511099503003"":10,""510030111004"":10,""510030105002"":10,""518200034001"":10,""510030103003"":9,""510790301024"":9,""510650201023"":9,""510030107003"":8,""510872001193"":8,""510030106013"":8,""511099503001"":8,""517900006002"":8,""510190301031"":7,""510030109032"":7,""510479304001"":7,""510310203003"":7,""510030105003"":7,""510150711012"":7,""511259501002"":6,""510090105041"":6,""510150712002"":6,""510650202003"":6,""510030102022"":6,""511639301005"":6,""511259503004"":6,""510030111001"":6,""510150706003"":6,""510030103004"":6,""510650203001"":6,""515400004011"":6,""510090104012"":6,""510030113022"":6,""510110401003"":6,""516600002051"":6,""510030110004"":6,""510030113031"":5,""515400005011"":5,""511139302004"":5,""510650202001"":5,""510090104021"":5,""510030106021"":5,""511970503013"":5,""510690508031"":5,""510030107002"":5,""515400002022"":5,""510790301023"":5,""511650120002"":5,""510190301013"":5,""510790301012"":5,""511650101002"":5,""517900004001"":5,""510190302023"":5,""080350141162"":5,""511139302001"":5,""511371102001"":5,""540810008043"":5,""511371103001"":5,""510650201011"":5,""511371103002"":5,""510790302003"":5,""515400009001"":5,""511498504003"":5,""510310207002"":4,""511099502013"":4,""510499302003"":4,""511259502004"":4,""510030114001"":4,""511259501003"":4,""371570406021"":4,""540239695002"":4,""540810012004"":4,""510150708004"":4,""540639502004"":4,""515400008004"":4,""510190501001"":4,""220710050001"":4,""510030108001"":4,""510090102004"":4,""511710407003"":4,""510150708006"":4,""511770201121"":4,""515400010001"":4,""510179201004"":4,""517700028004"":4,""515200204003"":4,""510030111002"":4,""516800003002"":4,""516600003012"":4,""510150709003"":4,""510030108002"":4,""510594402011"":4,""240338017073"":4,""510030101002"":4,""511770201064"":4,""516600002073"":4,""371830542052"":4,""510131013003"":4,""511650108002"":4,""511430108021"":4,""511259501001"":4,""510150704003"":4,""511390301001"":4,""510030103002"":4,""511099501002"":4,""470730504001"":4,""510310201013"":4,""510030112011"":4,""510030104022"":4,""510150711011"":4,""511870201003"":4,""510310203001"":4,""511610312012"":4,""510030102012"":4,""516800005001"":4,""370350103012"":4,""510411009293"":4,""511059502003"":4,""510790301011"":4,""510090102002"":4,""516800018001"":4,""510030113012"":4,""511650115001"":4,""511650118003"":4,""511650119001"":4,""510030114003"":4,""515400005012"":4,""510030107001"":4,""510150705003"":4,""511639303001"":4,""510110402003"":4,""540259504004"":4,""515400005022"":4,""511670304013"":4,""511770204081"":4,""510090104011"":4,""510030102011"":4,""510690508023"":4,""511650110003"":4,""511850211002"":4,""511650117001"":4,""518200033003"":4,""510479305011"":4,""510150705001"":4,""470190702001"":4,""518200032001"":4,""511650107002"":4,""515400005013"":4,""510310202004"":4,""511259503001"":4,""510872010013"":4,""510310204021"":4,""510299301011"":4,""510150711024"":4,""510050803011"":4,""516800002021"":4,""510150710004"":4,""510190301042"":4,""511610307013"":4,""516800009001"":4,""511099505001"":4,""510150711013"":4,""510872004112"":4,""515400007001"":4,""510594905023"":4,""240358109011"":4,""510110401001"":4,""518200031001"":4,""510872001292"":4,""511970502004"":4,""510650201013"":4,""511639301003"":4,""510650203002"":4,""511455002003"":4,""516600001022"":4,""510270103001"":4,""511610302051"":4,""511390305005"":4,""510872001251"":4,""510479305022"":4,""360850291041"":4,""511099502011"":4,""510479302023"":4,""515500214022"":4,""511650103001"":4,""510090101001"":4,""511410302003"":4,""510150705004"":4,""516800007001"":4,""511650101001"":4,""510690509001"":4,""511390302003"":4,""515400002011"":4,""361031580091"":4,""515400004012"":4,""510594820012"":4,""511650120003"":4,""510150711023"":4,""517700021003"":4,""511650106001"":4,""510150709004"":4,""516500118004"":4,""511610306001"":4,""511371103003"":4,""511099502021"":4,""511099502012"":4,""510650201022"":4,""510650203003"":4,""511539015081"":4,""511390304004"":4,""510150711021"":4,""510479303001"":4,""510299301012"":4,""510030113013"":4,""510754001003"":4,""010259579022"":4,""510190301032"":4,""518400002023"":4,""515800602002"":4,""240054083021"":4,""510690506001"":4,""510190302013"":4,""510030110005"":4,""511371101023"":4,""510210401002"":4,""510450501002"":4,""516800017002"":4,""511790104053"":4,""515400003022"":4,""511650112001"":4,""515400002012"":4,""517900003004"":4,""511390305002"":4,""511670301003"":4,""510411010091"":4,""510110401005"":4,""511139301002"":4,""511259502002"":4,""518400002025"":4,""510190301011"":4,""517000321272"":4,""511710405004"":4,""510479305021"":4,""510890103001"":4,""511371103004"":4,""511371101041"":4,""510150712003"":4,""516800019003"":4,""511770203082"":4,""510030114004"":4,""511650112002"":4,""511610311013"":4,""516600003021"":4,""300630004002"":4,""511390304001"":4,""510030103001"":4,""511650115002"":4,""511850205002"":4,""518200034003"":4,""510150711022"":4,""510150708003"":4,""510790302001"":4,""510110402002"":4,""510030112022"":4,""516600002061"":4,""510090105042"":4,""510479301022"":4,""540259507006"":4,""510150706001"":4,""518200035002"":4,""511650114001"":4,""510932801011"":4,""510150702002"":4,""510150712001"":4,""515400005023"":4,""510650201012"":4,""511479302011"":4,""121090209023"":4,""510650202004"":4,""510050801001"":4,""510030109011"":4,""511639301006"":4,""510299301021"":4,""510150704001"":4}",{},"{""US"":1620}",46637.0,173.0,"{""<5"":84,""5-20"":1121,""21-60"":1085,""61-240"":1690,"">240"":3135}",{},"{""Walmart"":28,""Exxon Mobil"":26,""Food Lion"":24,""Sheetz"":22,""McDonald's"":21,""Chick-fil-A"":18,""Lowe's"":16,""BP"":16,""Dollar General"":13,""Shell Oil"":13,""CVS"":12,""Kroger"":11,""Goodwill Industries"":11,""7-Eleven"":11,""Target"":11,""Hardee's"":10,""Wendy's"":9,""Dollar Tree"":9,""Taco Bell"":9,""Fas Mart"":8}","[877,863,840,847,899,1061,1779,2406,2656,2882,2979,3007,3024,2954,2812,2654,2231,1766,1648,1300,933,924,901,884]","{""Monday"":1349,""Tuesday"":1162,""Wednesday"":1073,""Thursday"":1167,""Friday"":1055,""Saturday"":669,""Sunday"":640}","{""android"":1015,""ios"":847}"
sg:cf314a5b45b14540b97d13d80b3fda98,Rising Roll Gourmet Cafe,University of Virginia Cabell Hall 525 Mccormick R,University of Virginia,VA,22904,SG_BRAND_3908fd3077838082,Rising Roll Gourmet Cafe,2020-08-01T00:00:00-04:00,2020-09-01T00:00:00-04:00,198,81,"[4,5,5,9,8,5,6,2,2,7,11,4,7,6,2,4,7,10,11,11,11,6,5,11,7,7,10,7,1,4,3]",510030109032.0,"{""131210030001"":8,""361190085002"":5,""511259502004"":4,""510030113022"":4,""340210039052"":4,""510030103001"":4,""240253042014"":4,""510299301023"":4,""010599735003"":4,""515400004023"":4,""510594826012"":4,""110010049012"":4,""240317055021"":4,""510790301023"":4,""517600606003"":4,""515400004011"":4}","{""518100462141"":4,""510594408002"":4,""250092532051"":4,""131210030001"":4,""340210039052"":4,""515400006001"":4,""510030109032"":4,""510594826012"":4,""390610206024"":4,""511770204081"":4,""120090712001"":4,""250173613005"":4,""370670010002"":4}",{},"{""US"":73,""GT"":4}",98944.0,60.0,"{""<5"":2,""5-20"":49,""21-60"":48,""61-240"":52,"">240"":47}","{""Starbucks"":15,""Sunoco"":12}","{""Starbucks"":35,""Target"":21,""Chick-fil-A"":19,""Exxon Mobil"":18,""Walmart"":18,""Sheetz"":16,""Lowe's"":15,""7-Eleven"":13,""Food Lion"":12,""Staples"":11,""Costco Wholesale Corp."":11,""Panera Bread"":11,""Trader Joe's"":11,""CVS"":11,""Shell Oil"":10,""Wawa"":10,""Kroger"":10,""Einstein Brothers"":10,""Harris Teeter"":10,""BP"":9}","[1,2,2,1,1,3,9,11,34,54,64,68,71,78,86,73,55,48,28,14,5,1,4,2]","{""Monday"":33,""Tuesday"":37,""Wednesday"":30,""Thursday"":33,""Friday"":30,""Saturday"":15,""Sunday"":20}","{""android"":34,""ios"":47}"
sg:7db1d433846843e289e2c522ceae78c4,Courtenay House,425 Treehouse Dr,University of Virginia,VA,22904,,,2020-08-01T00:00:00-04:00,2020-09-01T00:00:00-04:00,98,45,"[2,0,0,3,0,1,1,0,0,0,2,1,1,3,0,2,0,1,0,4,2,1,0,0,2,0,9,16,18,21,8]",510030109022.0,"{""510150706003"":5,""510594405011"":4,""390610049002"":4,""010970035022"":4,""511990503052"":4,""420410102032"":4,""420710109002"":4,""130670305041"":4,""518200035002"":4,""511076107012"":4,""515400007003"":4,""480850305281"":4}","{""240317025002"":7,""511990503052"":4,""510030111001"":4,""450190046081"":4,""390610049002"":4,""130670305041"":4}",{},"{""US"":42}",205986.0,45.5,"{""<5"":1,""5-20"":28,""21-60"":25,""61-240"":32,"">240"":12}","{""Chick-fil-A"":98,""Fairfield Inn & Suites by Marriott"":25,""Residence Inn by Marriott"":17,""Cook Out"":8}","{""Starbucks"":33,""Chick-fil-A"":30,""Walmart"":28,""Harris Teeter"":24,""Target"":24,""Costco Wholesale Corp."":21,""Exxon Mobil"":19,""Shell Oil"":18,""Chipotle Mexican Grill"":16,""Giant Food"":15,""Residence Inn by Marriott"":15,""Sheetz"":15,""7-Eleven"":11,""Potbelly Sandwich Works"":11,""Tropical Smoothie Café"":11,""Cook Out"":11,""Five Guys"":10,""The Home Depot"":10,""Staples"":10,""Sam's Club"":10}","[2,2,2,2,2,2,1,2,7,14,18,18,26,17,18,21,30,29,21,14,5,6,3,2]","{""Monday"":8,""Tuesday"":8,""Wednesday"":1,""Thursday"":15,""Friday"":22,""Saturday"":21,""Sunday"":23}","{""android"":16,""ios"":27}"
sg:3497ca18fd5d42dd9bcd09fee55b154e,Davenport Field,434 Lannigan Lane,University of Virginia,VA,22904,,,2020-08-01T00:00:00-04:00,2020-09-01T00:00:00-04:00,56,10,"[0,0,1,2,1,3,2,0,0,1,5,4,1,4,0,0,4,3,2,2,5,4,0,3,3,2,2,2,0,0,0]",510030109012.0,"{""340230066052"":4,""510030102021"":4}","{""511259502003"":6,""360271407003"":4}",{},"{""US"":8}",187545.0,29.0,"{""<5"":1,""5-20"":12,""21-60"":32,""61-240"":11,"">240"":0}","{""Chick-fil-A"":98,""Potbelly Sandwich Works"":25}","{""Chick-fil-A"":55,""Shell Oil"":43,""Courtyard by Marriott"":40,""McDonald's"":38,""Exxon Mobil"":37,""Starbucks"":33,""Moe's Orignal Bar B Que"":30,""Papa John's"":29,""Hampton"":29,""Buffalo Wild Wings"":29,""7-Eleven"":28,""Dairy Queen"":27,""Target"":23,""Walmart"":22,""Mezeh Mediterranean Grill"":20,""Fas Mart"":20,""Trader Joe's"":20,""HomeGoods"":20,""Outback Steakhouse"":19,""Jersey Mike's"":19}","[0,0,0,0,0,10,17,7,6,5,7,16,14,11,7,1,1,1,0,0,0,0,0,0]","{""Monday"":9,""Tuesday"":13,""Wednesday"":9,""Thursday"":8,""Friday"":13,""Saturday"":4,""Sunday"":0}","{""android"":4,""ios"":7}"
sg:2139699739f843cd847b3408e80743b0,Humphreys House,Humphreys,University of Virginia,VA,22904,,,2020-08-01T00:00:00-04:00,2020-09-01T00:00:00-04:00,202,111,"[5,6,13,10,2,10,4,5,3,5,3,7,4,8,2,3,5,2,4,4,9,19,22,8,2,3,10,8,6,7,3]",510030109031.0,"{""450339704002"":4,""515400005023"":4,""517402128021"":4,""511259503001"":4,""510650203001"":4,""510030105002"":4,""361190086024"":4,""420750038001"":4,""510650201021"":4,""230190140002"":4,""510030109031"":4,""515400002021"":4}","{""516600004011"":5,""510030105002"":4,""361190086024"":4,""230190140002"":4,""510030106013"":4,""510030109031"":4,""515400002021"":4,""515400005023"":4}",{},"{""US"":57}",19136.0,64.0,"{""<5"":6,""5-20"":49,""21-60"":43,""61-240"":51,"">240"":53}",{},"{""Fairfield Inn & Suites by Marriott"":6}","[25,25,25,23,23,24,30,39,54,56,58,65,66,54,53,52,48,40,36,22,24,27,31,21]","{""Monday"":34,""Tuesday"":17,""Wednesday"":16,""Thursday"":28,""Friday"":29,""Saturday"":37,""Sunday"":41}","{""android"":87,""ios"":20}"
sg:3fc0cde64aa9432eb608b65afc91d03c,Five Guys,180 McCormick Rd,University of Virginia,VA,22904,SG_BRAND_87b52f7d201822f23c1015f8e9beb4b1,Five Guys,2020-08-01T00:00:00-04:00,2020-09-01T00:00:00-04:00,52,32,"[0,0,2,1,1,2,2,2,1,2,6,0,1,2,0,1,0,1,1,2,1,1,1,4,2,4,5,0,1,3,3]",510030109032.0,"{""510131007002"":4,""511770201043"":4,""510150711012"":4,""510030109021"":4,""510790302003"":4,""510650201021"":4,""518100454242"":4,""515400005013"":4,""518100440033"":4,""170318326003"":4}","{""510131007002"":4,""511076112082"":4,""510030104022"":4,""516105002001"":4}",{},"{""US"":28}",38122.0,39.0,"{""<5"":3,""5-20"":15,""21-60"":13,""61-240"":15,"">240"":6}","{""Cook Out"":33}","{""Chick-fil-A"":32,""Harris Teeter"":25,""Food Lion"":24,""Starbucks"":21,""Target"":21,""Lowe's"":20,""Walmart"":19,""Costco Wholesale Corp."":18,""Wegmans Food Markets"":15,""Trader Joe's"":15,""Cook Out"":15,""Sheetz"":15,""Fas Mart"":12,""Giant Food"":12,""HomeGoods"":12,""Shell Oil"":12,""Hampton"":12,""Panera Bread"":11,""Mobil"":10,""7-Eleven"":10}","[0,1,1,1,1,1,1,2,9,17,17,12,16,17,14,4,11,5,0,2,0,0,0,0]","{""Monday"":11,""Tuesday"":10,""Wednesday"":6,""Thursday"":10,""Friday"":5,""Saturday"":4,""Sunday"":6}","{""android"":10,""ios"":20}"
sg:92852a0670b9467ba60c7ebb1e13c7c8,University of Virginia,Emmet,University of Virginia,VA,22904,,,2020-08-01T00:00:00-04:00,2020-09-01T00:00:00-04:00,212,89,"[1,4,10,9,8,10,15,4,2,10,13,13,11,3,3,4,9,6,3,4,15,2,0,6,5,10,6,10,3,4,9]",510030109031.0,"{""510030110004"":6,""515400009001"":5,""510030105001"":4,""132150009001"":4,""510790302003"":4,""510650203002"":4,""511455001021"":4,""510150706003"":4,""515400005025"":4,""515400006001"":4,""510030102011"":4,""130890212142"":4,""511277002001"":4,""518100438004"":4}","{""510030109021"":5,""510030102011"":4,""510030113014"":4,""510030108001"":4,""511539014032"":4,""510790302004"":4,""515400006001"":4,""515400005023"":4,""510030109031"":4,""510790302001"":4,""340210037031"":4,""511539015102"":4,""510030107002"":4,""515400004011"":4,""510030110004"":4}",{},"{""US"":71}",28674.0,65.5,"{""<5"":1,""5-20"":60,""21-60"":43,""61-240"":70,"">240"":38}","{""Exxon Mobil"":33,""Bojangles'"":11,""Lowe's"":8}","{""Exxon Mobil"":16,""Argo Tea"":16,""Sheetz"":15,""Starbucks"":11,""Walmart"":10,""CVS"":9,""Food Lion"":9,""Chick-fil-A"":9,""Mission BBQ"":9,""Rising Roll Gourmet Cafe"":8,""Wegmans Food Markets"":8,""Family Dollar Stores"":7,""Costco Wholesale Corp."":7,""Einstein Brothers"":6,""Lowe's"":6,""Target"":6,""Taco Bell"":6,""BP"":6,""7-Eleven"":6,""Fas Mart"":6}","[3,3,4,4,21,21,24,27,38,62,69,74,60,64,59,58,45,28,16,11,8,6,4,3]","{""Monday"":44,""Tuesday"":33,""Wednesday"":34,""Thursday"":31,""Friday"":43,""Saturday"":13,""Sunday"":14}","{""android"":31,""ios"":58}"
sg:3377d7b276d94f4e9679c01689a2b646,Lee Park,Lee Park,Charlottesville,VA,22908,,,2020-08-01T00:00:00-04:00,2020-09-01T00:00:00-04:00,136,67,"[2,3,3,4,4,3,3,0,1,7,3,21,4,7,1,0,2,7,3,7,8,3,3,7,6,6,5,8,3,0,2]",515400010001.0,"{""360610007001"":4,""510030111004"":4,""510411009192"":4,""511099503002"":4,""510030111001"":4,""482014516022"":4}","{""515400010001"":5,""510030103005"":4,""510030112013"":4,""510030101002"":4,""360610007001"":4}",{},"{""US"":59}",20631.0,56.0,"{""<5"":2,""5-20"":24,""21-60"":44,""61-240"":47,"">240"":19}","{""Taco Bell"":99,""Bank of America"":17,""Wegmans Food Markets"":5}","{""Exxon Mobil"":31,""Lowe's"":23,""Walmart"":22,""Food Lion"":22,""Sheetz"":20,""McDonald's"":19,""CVS"":18,""Harris Teeter"":18,""Wegmans Food Markets"":18,""Kroger"":17,""Shell Oil"":16,""Target"":15,""BP"":15,""Dick's Sporting Goods"":14,""Costco Wholesale Corp."":13,""7-Eleven"":13,""Wawa"":12,""Mission BBQ"":12,""Chick-fil-A"":11,""Starbucks"":11}","[0,0,1,0,0,0,2,3,24,45,39,34,39,32,28,34,30,33,20,3,3,3,3,0]","{""Monday"":21,""Tuesday"":20,""Wednesday"":34,""Thursday"":19,""Friday"":26,""Saturday"":9,""Sunday"":7}","{""android"":34,""ios"":32}"
